FlowCell Text Data File: Rel606.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-10-20
Time: 15:43:57
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 35k rpm
Gradient: Sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 882574
Source A Zero: 330125.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
613042.933, 331735.533, 27.12, 0.831025, , 
613463.333, 331690.033, 27.22, 0.829174, , 
612974.900, 331770.667, 27.32, 0.831513, , 
611912.767, 331910.733, 27.42, 0.836366, , 
611071.967, 331682.200, 27.52, 0.837910, , 
609394.200, 331753.300, 27.62, 0.844580, , 
607644.100, 331774.933, 27.72, 0.851199, , 
605523.033, 331742.233, 27.82, 0.858846, , 
602533.033, 331875.067, 27.92, 0.870887, , 
599618.500, 331880.100, 28.02, 0.881833, , 
595684.467, 331768.600, 28.12, 0.895891, , 
592082.333, 331833.000, 28.21, 0.909977, , 
587514.667, 331743.133, 28.32, 0.926796, , 
582349.100, 331809.667, 28.42, 0.947121, , 
576601.867, 331720.200, 28.51, 0.968835, , 
569510.700, 331794.267, 28.61, 0.997185, , 
563064.233, 331856.800, 28.71, 1.023228, , 
554811.667, 331721.533, 28.81, 1.055538, , 
543808.267, 331690.433, 28.91, 1.100407, , 
534045.900, 331577.267, 29.01, 1.140406, , 
521169.000, 331576.800, 29.11, 1.195330, , 
505912.800, 331729.633, 29.21, 1.263228, , 
492618.467, 331711.667, 29.31, 1.323034, , 
474481.033, 331872.967, 29.41, 1.408549, , 
452808.000, 331853.000, 29.51, 1.513629, , 
436037.833, 331683.533, 29.61, 1.597409, , 
411553.133, 331624.033, 29.71, 1.727060, , 
389899.433, 331606.633, 29.81, 1.848576, , 
369008.000, 331591.100, 29.91, 1.972404, , 
344295.700, 331775.433, 30.01, 2.129649, , 
325732.067, 331682.900, 30.10, 2.253753, , 
304047.867, 331734.900, 30.21, 2.409138, , 
284838.967, 331614.333, 30.30, 2.555186, , 
268442.000, 331676.000, 30.40, 2.689031, , 
251088.667, 331672.933, 30.50, 2.839404, , 
238196.900, 331650.433, 30.60, 2.957868, , 
224053.367, 331739.467, 30.70, 3.096229, , 
213394.833, 331723.833, 30.80, 3.205810, , 
201155.933, 331790.967, 30.90, 3.339184, , 
193142.000, 331847.633, 31.00, 3.431059, , 
184199.900, 331857.567, 31.10, 3.537807, , 
177494.233, 331803.233, 31.20, 3.620892, , 
171558.933, 331794.300, 31.30, 3.697372, , 
166108.100, 331859.233, 31.40, 3.770474, , 
162380.400, 331896.367, 31.50, 3.821804, , 
158657.767, 331910.533, 31.60, 3.874093, , 
156517.300, 331873.933, 31.69, 3.904412, , 
153625.667, 331823.900, 31.80, 3.946038, , 
152017.400, 331846.467, 31.90, 3.969875, , 
150695.300, 331836.200, 32.00, 3.989463, , 
150332.467, 331799.367, 32.09, 3.994638, , 
150042.133, 331848.233, 32.19, 3.999320, , 
150049.200, 331761.367, 32.30, 3.998625, , 
150530.100, 331750.733, 32.39, 3.991352, , 
151579.067, 331681.967, 32.49, 3.975257, , 
152560.967, 331661.967, 32.59, 3.960591, , 
154173.900, 331822.067, 32.69, 3.938009, , 
156640.167, 331764.367, 32.79, 3.901903, , 
159221.000, 331731.833, 32.89, 3.864906, , 
163127.367, 331745.767, 32.99, 3.810454, , 
167126.900, 331782.433, 33.09, 3.756193, , 
173311.200, 331808.000, 33.19, 3.674596, , 
178657.367, 331835.533, 33.29, 3.606412, , 
187426.433, 331790.133, 33.39, 3.498271, , 
195127.500, 331846.533, 33.48, 3.408036, , 
205516.033, 331746.967, 33.59, 3.290628, , 
216816.900, 331899.133, 33.69, 3.171196, , 
228560.900, 331901.300, 33.79, 3.052502, , 
241832.900, 331878.233, 33.88, 2.925321, , 
253431.800, 331868.733, 33.98, 2.819829, , 
267112.567, 331864.333, 34.08, 2.701481, , 
279071.167, 331751.867, 34.18, 2.602157, , 
290475.000, 331793.633, 34.28, 2.512309, , 
303417.400, 331832.267, 34.38, 2.414470, , 
312367.200, 331791.000, 34.48, 2.348770, , 
323308.767, 331780.700, 34.58, 2.271221, , 
333106.100, 331807.967, 34.68, 2.204223, , 
342496.967, 331769.733, 34.78, 2.141398, , 
353089.333, 331684.767, 34.88, 2.072277, , 
360660.967, 331663.333, 34.98, 2.024384, , 
370074.833, 331780.533, 35.07, 1.967192, , 
378522.567, 331749.300, 35.18, 1.916187, , 
388354.600, 331769.167, 35.28, 1.858613, , 
396636.233, 331806.833, 35.37, 1.811383, , 
405212.900, 331803.767, 35.48, 1.763219, , 
413918.800, 331877.867, 35.58, 1.715883, , 
421506.533, 331779.433, 35.67, 1.674335, , 
431332.567, 331871.133, 35.77, 1.623098, , 
440704.400, 331933.767, 35.87, 1.575150, , 
450175.700, 331778.967, 35.97, 1.526248, , 
459456.533, 331953.833, 36.07, 1.481510, , 
468722.200, 331970.000, 36.17, 1.436688, , 
477451.600, 331930.500, 36.27, 1.394894, , 
485778.500, 331989.967, 36.37, 1.356387, , 
493065.100, 331963.400, 36.47, 1.322701, , 
501358.067, 331903.100, 36.57, 1.284757, , 
509262.433, 331833.067, 36.67, 1.249078, , 
517080.200, 331725.900, 36.77, 1.214067, , 
524738.600, 331755.967, 36.86, 1.181185, , 
531726.233, 331829.067, 36.97, 1.151911, , 
539156.100, 331732.967, 37.07, 1.120031, , 
545407.667, 331614.533, 37.16, 1.093283, , 
551371.967, 331712.267, 37.26, 1.069470, , 
559010.600, 331829.633, 37.37, 1.039303, , 
565090.933, 331697.567, 37.46, 1.014062, , 
570844.200, 331709.233, 37.56, 0.991345, , 
576647.633, 331787.433, 37.66, 0.969112, , 
582528.033, 331859.733, 37.76, 0.946770, , 
587419.033, 331714.033, 37.86, 0.926965, , 
592518.400, 331639.967, 37.96, 0.907011, , 
598274.300, 331767.367, 38.06, 0.886119, , 
602315.967, 331728.300, 38.16, 0.870703, , 
606397.733, 331775.633, 38.26, 0.855824, , 
610740.067, 331694.733, 38.36, 0.839218, , 
615706.900, 331775.933, 38.46, 0.821541, , 
620674.233, 331768.733, 38.56, 0.803409, , 
625076.833, 331686.267, 38.66, 0.786943, , 
628969.100, 331744.667, 38.75, 0.773370, , 
631607.733, 331648.600, 38.86, 0.763297, , 
635141.533, 331699.533, 38.95, 0.751087, , 
